Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Revenue_per_Month,Average_Monthly_Charges,Charges_Evolution,Total_Services,Contract_Risk_Score,Payment_Risk_Score,Service_Dependency_Score,Loyalty_Adjusted_Value,Gender_Encoded,Contract_Encoded,Payment Method_Encoded,Internet Service_DSL,Internet Service_Fiber optic,Internet Service_No,Value_Segment_Low,Value_Segment_Medium,Value_Segment_High,Value_Segment_Premium,customer_sentiment,sentiment_encoded,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9
No,No,No,-0.287624706,Yes,No,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,-0.103137633,-0.109150984,Yes,-0.110426528,-0.110426528,0.174074225,3,3,2,0.359472591,-0.003342316,0,0,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NEGATIVE,0,-0.2044867,0.6997704,-0.6000474,0.25927567,-0.20034611,0.24076413,0.77594614,0.8706671,-0.010814726,0.9306907
No,No,Yes,-0.723022973,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,-0.011833983,-0.562054478,Yes,-0.127429423,-0.127429423,2.801687723,1,3,3,-0.490545965,-0.287251844,1,0,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NEGATIVE,0,-0.3350129,-1.2876483,2.1959946,0.40518814,-0.1440224,-0.71317697,-0.53099024,-0.5674642,-0.56390345,-0.536512
No,No,Yes,0.100476143,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.644825368,0.476800895,Yes,0.614806905,0.614806905,0.859562455,5,3,3,0.645020411,0.632100539,1,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.7082569,-0.3377057,-1.482751,1.5931457,0.85808265,-0.7745808,1.4795299,0.06541528,-0.090036236,0.77697134
No,No,Yes,-0.473574805,Yes,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0.494243048,-0.10437033,Yes,0.545420687,0.545420687,-1.131411666,4,3,1,0.509454035,0.210671367,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.32065022,-1.2966471,2.380861,0.40953964,-0.00778316,-0.6140809,-0.62266415,-0.71698695,-0.7190046,-0.5022329
No,No,Yes,-0.906122343,Yes,No,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.186515486,-0.783733437,Yes,0.032521175,0.032521175,3.814891177,2,3,3,0,-0.49139413,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NEGATIVE,0,-0.41153324,-1.2632284,2.402226,0.35124698,-0.111046255,-0.7289695,-0.45154977,-0.5215236,-0.5551658,-0.33475706
No,No,Yes,-0.345149111,Yes,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0.516445241,0.008330706,Yes,0.449002794,0.449002794,1.76766956,5,3,1,0.645020411,0.319189584,0,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.7082569,-0.3377057,-1.482751,1.5931457,0.85808265,-0.7745808,1.4795299,0.06541528,-0.090036236,0.77697134
Yes,Yes,Yes,-0.586532311,Yes,Yes,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),0.186515486,-0.326536678,Yes,0.161756852,0.161756852,0.651020303,2,3,1,-0.222876017,-0.044217367,0,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NEGATIVE,0,-0.34505785,-1.2371912,2.3524127,0.4390156,-0.20862599,-0.84519184,-0.5276241,-0.4966434,-0.57126635,-0.31236598
Yes,No,Yes,-0.260189291,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.451556835,0.104856362,Yes,0.489614115,0.489614115,-0.821997371,3,3,3,0.359472591,0.33991657,1,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.7082569,-0.3377057,-1.482751,1.5931457,0.85808265,-0.7745808,1.4795299,0.06541528,-0.090036236,0.77697134
No,No,Yes,-0.546835077,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,0.432857215,-0.209693867,Yes,0.451807416,0.451807416,-0.366796185,3,3,3,0.359472591,0.116217755,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.41145682,-1.1383526,2.3089972,0.33944654,-0.28490776,-0.6328553,-0.5589487,-0.62045395,-0.7256101,-0.5569171
No,No,Yes,-0.989731303,Yes,No,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.163074567,-0.924031408,Yes,0.165162887,0.165162887,0,2,3,3,0,-0.727467051,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NEGATIVE,0,-0.40236235,-1.3399973,2.27222,0.3074606,-0.216382,-0.52015823,-0.38441792,-0.7575723,-0.72280174,-0.4005637
No,Yes,Yes,-0.628756242,Yes,No,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.087149593,-0.413833011,Yes,0.012571181,0.012571181,1.837907898,2,3,1,-0.222876017,-0.135944171,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NEGATIVE,0,-0.3810048,-1.3545959,2.1551342,0.57431394,-0.19058102,-0.5391823,-0.52585495,-0.50768507,-0.46269605,-0.5322485
No,No,Yes,-0.439481315,Yes,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.155856399,-0.17785704,Yes,0.127509134,0.127509134,0.731814967,2,3,3,-0.222876017,0.058930547,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NEGATIVE,0,-0.12460399,-1.1408622,2.2407415,0.6181704,-0.13825127,-0.7102739,-0.75811195,-0.6333872,-0.52674526,-0.4768831
No,No,No,-0.723022973,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-0.929330532,-0.841815471,Yes,-0.904318988,-0.904318988,-0.739277678,1,3,2,-0.490545965,-0.881306969,1,0,3,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NEGATIVE,0,-0.2445898,-1.2344832,2.2253819,0.48911768,-0.12897485,-0.63070226,-0.48600698,-0.27902427,-0.23277476,-0.3214778
Yes,Yes,Yes,-0.087287579,Yes,No,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.505790742,0.286788222,Yes,0.547008598,0.547008598,-0.892794256,5,3,3,0.645020411,0.465838296,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.7082569,-0.3377057,-1.482751,1.5931457,0.85808265,-0.7745808,1.4795299,0.06541528,-0.090036236,0.77697134
No,Yes,No,0.635152387,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),0.709214996,0.961678232,Yes,0.748577942,0.748577942,-0.832691383,6,1,1,0.76880815,0.861722762,1,2,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.7082569,-0.3377057,-1.482751,1.5931457,0.85808265,-0.7745808,1.4795299,0.06541528,-0.090036236,0.77697134
No,Yes,Yes,0.453164923,Yes,Yes,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.474688083,0.712496974,Yes,0.451856236,0.451856236,0.65532473,4,3,3,0.359472591,0.663374717,1,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,POSITIVE,1,-0.8039254,-0.6556216,0.49813226,0.09567271,-1.3547665,-1.4734502,0.19598183,-0.5932262,0.9983024,0.63794804
Yes,Yes,Yes,0.156973596,Yes,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.111586766,0.357375904,Yes,0.131848015,0.131848015,-0.43872769,1,3,3,-0.490545965,0.330806403,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,POSITIVE,1,-0.8039254,-0.6556216,0.49813226,0.09567271,-1.3547665,-1.4734502,0.19598183,-0.5932262,0.9983024,0.63794804
No,Yes,Yes,-0.509281283,Yes,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.536853297,-0.120364246,Yes,0.651655539,0.651655539,-2.640433455,4,3,3,0.509454035,0.200838267,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.2281394,-1.2027968,2.2560687,0.47844815,-0.08305287,-0.44345015,-0.5838112,-0.50015277,-0.39254585,-0.34883636
No,No,Yes,-0.836928894,Yes,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.073559683,-0.658268985,Yes,0.113624493,0.113624493,-0.908413128,1,3,3,-0.490545965,-0.404896427,1,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NEGATIVE,0,-0.3881786,-1.4235075,2.2667887,0.4655869,-0.12291116,-0.61044717,-0.5672776,-0.60519016,-0.70853746,-0.5830901
Yes,No,Yes,-0.042779616,Yes,Yes,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,0.139605811,0.20238019,Yes,0.160486783,0.160486783,-0.449461559,2,3,3,-0.222876017,0.269697086,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,POSITIVE,1,-0.8039254,-0.6556216,0.49813226,0.09567271,-1.3547665,-1.4734502,0.19598183,-0.5932262,0.9983024,0.63794804
No,Yes,No,-0.087287579,No,No phone service,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),-0.215225315,0.032265726,Yes,-0.188099095,-0.188099095,-0.647865459,5,3,1,0.509454035,0.012662712,0,0,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NEGATIVE,0,-0.2044867,0.6997704,-0.6000474,0.25927567,-0.20034611,0.24076413,0.77594614,0.8706671,-0.010814726,0.9306907
No,No,No,-0.989731303,No,No phone service,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,-0.649307261,-1.081465453,Yes,-0.654823621,-0.654823621,0,1,3,3,-0.490545965,-1.02666729,1,0,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NEGATIVE,0,-0.26712954,-1.1446176,2.136177,0.33429444,-0.31167418,-0.6332258,-0.47618207,-0.36159548,-0.3099239,-0.258412
No,No,No,-0.906122343,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,-0.480552047,-0.918877875,Yes,-0.555172367,-0.555172367,1.642243831,1,3,3,-0.490545965,-0.779793575,1,0,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NEGATIVE,0,-0.28723288,-1.2809639,2.2465568,0.25772247,-0.17310973,-0.7147632,-0.45737502,-0.41457647,-0.30486596,-0.34178033
Yes,Yes,Yes,-0.989731303,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,0.001819909,-0.94945946,Yes,0.002750778,0.002750778,0,1,3,2,-0.490545965,-0.77885661,0,0,3,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NEGATIVE,0,-0.47197527,-1.3726239,2.3151224,0.42702848,0.038657665,-0.50107276,-0.4591185,-0.57366085,-0.49994284,-0.4950258
No,No,No,-0.586532311,Yes,Yes,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,0.014554058,-0.369144787,Yes,0.002865383,0.002865383,0.302448578,4,3,3,0.359472591,-0.13566054,0,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NEGATIVE,0,-0.38291848,-1.4513118,2.279674,0.48988444,0.029480595,-0.7116796,-0.5448094,-0.55068225,-0.50063115,-0.48322845
No,No,No,-0.989731303,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,-0.45611772,-1.035675276,Yes,-0.459366674,-0.459366674,0,1,3,3,-0.490545965,-0.944366731,1,0,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NEGATIVE,0,-0.26408935,-1.1485246,2.1968102,0.3312149,-0.26133868,-0.634916,-0.5098068,-0.4049183,-0.38515037,-0.30456537
No,No,Yes,-0.628756242,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,0.443544551,-0.313691921,Yes,0.423018958,0.423018958,0.593630994,3,3,2,0.359472591,0.039311108,1,0,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.4285475,-1.3371271,2.419483,0.6980275,-0.07519374,-0.60661584,-0.64974326,-0.5507715,-0.54387563,-0.5076896
No,Yes,Yes,-0.207624098,Yes,Yes,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,0.218027444,0.059290651,Yes,0.170021051,0.170021051,1.22348486,2,3,3,-0.222876017,0.237861757,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,POSITIVE,1,-0.8039254,-0.6556216,0.49813226,0.09567271,-1.3547665,-1.4734502,0.19598183,-0.5932262,0.9983024,0.63794804
No,No,Yes,-0.776797309,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.010007193,-0.607537895,Yes,-0.037641298,-0.037641298,1.164742288,1,3,1,-0.490545965,-0.344003254,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NEGATIVE,0,-0.47118443,-1.3433299,2.2466927,0.40315035,-0.057341605,-0.65931106,-0.5278515,-0.4718765,-0.5159083,-0.55290544
Yes,Yes,No,0.497082929,No,No phone service,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,-0.462691221,0.314900888,Yes,-0.458221402,-0.458221402,-0.177529389,3,3,3,0,-0.012803599,1,0,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,POSITIVE,1,-0.8039254,-0.6556216,0.49813226,0.09567271,-1.3547665,-1.4734502,0.19598183,-0.5932262,0.9983024,0.63794804
No,Yes,Yes,-0.906122343,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.610359894,-0.642093276,Yes,0.915212506,0.915212506,-7.132662322,5,3,3,0.645020411,-0.340843122,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.3484981,-1.3392143,2.48478,0.16380815,0.004692696,-0.6196447,-0.6282079,-0.54083717,-0.570786,-0.46817783
No,Yes,No,0.423157935,Yes,No,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),0.440873177,0.683022764,Yes,0.435572406,0.435572406,0.22061554,4,2,1,0.509454035,0.632778453,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.7082569,-0.3377057,-1.482751,1.5931457,0.85808265,-0.7745808,1.4795299,0.06541528,-0.090036236,0.77697134
Yes,No,Yes,-0.345149111,Yes,Yes,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,0.074465985,-0.088979444,Yes,0.111134716,0.111134716,-0.828866792,1,3,2,-0.490545965,0.074247906,0,0,3,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,POSITIVE,1,-0.8039254,-0.6556216,0.49813226,0.09567271,-1.3547665,-1.4734502,0.19598183,-0.5932262,0.9983024,0.63794804
Yes,No,Yes,-0.628756242,Yes,No,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),0.110682245,-0.409152535,Yes,0.0301023,0.0301023,1.990811965,2,3,1,-0.222876017,-0.123732695,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NEGATIVE,0,-0.36987507,-1.4245961,2.2594752,0.67468274,-0.060489032,-0.6320293,-0.5835094,-0.64007455,-0.60636246,-0.62193644
No,No,No,-0.989731303,No,No phone service,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),-0.755078785,-1.110276314,Yes,-0.762002717,-0.762002717,0,1,3,1,-0.827512326,-1.076407252,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NEGATIVE,0,-0.19536638,-1.235091,2.1347198,0.3646573,-0.32265666,-0.7686605,-0.52849656,-0.48598072,-0.46967345,-0.37475765
No,No,Yes,-0.586532311,Yes,Yes,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),0.255777909,-0.309624005,Yes,0.228286607,0.228286607,0.730896324,2,3,1,0,-0.008866135,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NEGATIVE,0,-0.27478743,-1.1834323,2.325009,0.4182952,-0.22164276,-0.7850591,-0.56911105,-0.44103628,-0.5169294,-0.33338964
No,No,Yes,-0.406811682,Yes,No,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,0.161270273,-0.101956308,Yes,0.276742263,0.276742263,-2.659984155,3,3,3,0,0.084814664,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,POSITIVE,1,-0.8039254,-0.6556216,0.49813226,0.09567271,-1.3547665,-1.4734502,0.19598183,-0.5932262,0.9983024,0.63794804
No,Yes,No,-0.989731303,No,No phone service,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,-0.855378895,-1.14095625,Yes,-0.863768439,-0.863768439,0,0,3,3,-1.287345685,-1.127606427,0,0,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NEGATIVE,0,-0.21327424,-1.2031972,2.1489353,0.31051815,-0.27422696,-0.6249817,-0.6082508,-0.33842734,-0.31220096,-0.21698189
No,Yes,Yes,-0.67401766,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,0.372201499,-0.390480403,Yes,0.330626507,0.330626507,1.098283422,4,3,3,0.359472591,-0.04476081,1,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.39600945,-1.1466784,2.3722103,0.52619106,0.001756914,-0.64819634,-0.52391374,-0.53277916,-0.56599647,-0.40723523
No,No,Yes,-0.989731303,Yes,No,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,0.172995248,-0.922530332,Yes,0.175150222,0.175150222,0,2,3,3,0,-0.72439727,1,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NEGATIVE,0,-0.39730322,-1.3054239,2.258129,0.29701513,-0.28507748,-0.55398285,-0.369786,-0.75667334,-0.7433569,-0.435905
No,No,Yes,-0.233542584,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.64924068,0.152973649,Yes,0.568976262,0.568976262,2.115665381,6,3,3,0.76880815,0.461027694,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.7082569,-0.3377057,-1.482751,1.5931457,0.85808265,-0.7745808,1.4795299,0.06541528,-0.090036236,0.77697134
No,No,No,-0.906122343,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),-0.449547835,-0.910264802,Yes,-0.524093221,-0.524093221,1.653371451,1,3,1,-0.490545965,-0.764323879,1,0,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NEGATIVE,0,-0.29680538,-1.1924303,2.1772168,0.36929867,-0.046916038,-0.68794024,-0.5382012,-0.4255921,-0.31589454,-0.39271468
No,No,Yes,-0.776797309,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,-0.00364038,-0.612667075,Yes,-0.05902655,-0.05902655,1.347729517,1,3,3,-0.490545965,-0.350541325,0,0,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NEGATIVE,0,-0.47659445,-1.4279172,2.2597206,0.425124,0.030568484,-0.6187227,-0.50772953,-0.5089209,-0.49620098,-0.54997027
No,Yes,No,-0.776797309,Yes,No,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,-0.373778808,-0.726691769,Yes,-0.474798679,-0.474798679,2.305860532,2,3,2,-0.222876017,-0.542695678,1,0,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NEGATIVE,0,-0.16993642,-1.3006426,2.193151,0.44390476,-0.17672047,-0.671088,-0.42244095,-0.35906202,-0.42580345,-0.33772817
No,Yes,No,-0.989731303,Yes,No,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,-0.278061553,-0.999157691,Yes,-0.279509015,-0.279509015,0,2,3,2,0,-0.875925711,0,0,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NEGATIVE,0,-0.28520203,-1.3055191,2.282635,0.33129993,-0.097773895,-0.51109755,-0.4937079,-0.44105542,-0.34822977,-0.37868223
No,No,Yes,-0.989731303,Yes,No,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,0.257573841,-0.910003685,Yes,0.260276799,0.260276799,0,3,3,2,0.19141875,-0.698623247,1,0,3,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NEGATIVE,0,-0.31645346,-1.2339222,2.328161,0.26920795,-0.2007801,-0.56995314,-0.45414817,-0.54705244,-0.56998676,-0.34728447
No,No,No,-0.906122343,Yes,Yes,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,-0.292886514,-0.841291833,Yes,-0.244966445,-0.244966445,-1.135273826,2,3,2,-0.222876017,-0.689911364,1,0,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NEGATIVE,0,-0.24868238,-1.2803068,2.2987103,0.22220093,-0.17926705,-0.6747193,-0.55393666,-0.4515396,-0.5110043,-0.4074757
Yes,No,Yes,-0.473574805,Yes,No,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.443544551,-0.098631929,Yes,0.569551312,0.569551312,-2.905115971,4,3,3,0.509454035,0.185305441,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.30929124,-1.2172172,2.3811226,0.5998415,-0.020208638,-0.6260389,-0.7629756,-0.55577964,-0.6252669,-0.3920476
